Name,SPDXID,Version,DownloadLocation,License
"@opentelemetry/propagation-utils","SPDXRef-Package-opentelemetry.propagation-utils-0.31.16","0.31.16","https://registry.npmjs.org/@opentelemetry/propagation-utils/-/propagation-utils-0.31.16.tgz","Apache-2.0"
"@opentelemetry/propagator-b3","SPDXRef-Package-opentelemetry.propagator-b3-2.0.1","2.0.1","https://registry.npmjs.org/@opentelemetry/propagator-b3/-/propagator-b3-2.0.1.tgz","Apache-2.0"
"@opentelemetry/propagator-jaeger","SPDXRef-Package-opentelemetry.propagator-jaeger-2.0.1","2.0.1","https://registry.npmjs.org/@opentelemetry/propagator-jaeger/-/propagator-jaeger-2.0.1.tgz","Apache-2.0"
"@opentelemetry/redis-common","SPDXRef-Package-opentelemetry.redis-common-0.38.2","0.38.2","https://registry.npmjs.org/@opentelemetry/redis-common/-/redis-common-0.38.2.tgz","Apache-2.0"
"@opentelemetry/resource-detector-alibaba-cloud","SPDXRef-Package-opentelemetry.resource-detector-alibaba-cloud-0.31.11","0.31.11","https://registry.npmjs.org/@opentelemetry/resource-detector-alibaba-cloud/-/resource-detector-alibaba-cloud-0.31.11.tgz","Apache-2.0"
"@opentelemetry/resource-detector-aws","SPDXRef-Package-opentelemetry.resource-detector-aws-2.13.0","2.13.0","https://registry.npmjs.org/@opentelemetry/resource-detector-aws/-/resource-detector-aws-2.13.0.tgz","Apache-2.0"
"@opentelemetry/resource-detector-azure","SPDXRef-Package-opentelemetry.resource-detector-azure-0.10.0","0.10.0","https://registry.npmjs.org/@opentelemetry/resource-detector-azure/-/resource-detector-azure-0.10.0.tgz","Apache-2.0"
"@opentelemetry/resource-detector-container","SPDXRef-Package-opentelemetry.resource-detector-container-0.7.11","0.7.11","https://registry.npmjs.org/@opentelemetry/resource-detector-container/-/resource-detector-container-0.7.11.tgz","Apache-2.0"
"@opentelemetry/resource-detector-gcp","SPDXRef-Package-opentelemetry.resource-detector-gcp-0.37.0","0.37.0","https://registry.npmjs.org/@opentelemetry/resource-detector-gcp/-/resource-detector-gcp-0.37.0.tgz","Apache-2.0"
"@opentelemetry/resources","SPDXRef-Package-opentelemetry.resources-2.0.1","2.0.1","https://registry.npmjs.org/@opentelemetry/resources/-/resources-2.0.1.tgz","Apache-2.0"
"@opentelemetry/sdk-logs","SPDXRef-Package-opentelemetry.sdk-logs-0.203.0","0.203.0","https://registry.npmjs.org/@opentelemetry/sdk-logs/-/sdk-logs-0.203.0.tgz","Apache-2.0"
"@opentelemetry/sdk-metrics","SPDXRef-Package-opentelemetry.sdk-metrics-2.0.1","2.0.1","https://registry.npmjs.org/@opentelemetry/sdk-metrics/-/sdk-metrics-2.0.1.tgz","Apache-2.0"
"@opentelemetry/sdk-node","SPDXRef-Package-opentelemetry.sdk-node-0.203.0","0.203.0","https://registry.npmjs.org/@opentelemetry/sdk-node/-/sdk-node-0.203.0.tgz","Apache-2.0"
"@opentelemetry/sdk-trace-base","SPDXRef-Package-opentelemetry.sdk-trace-base-2.0.1","2.0.1","https://registry.npmjs.org/@opentelemetry/sdk-trace-base/-/sdk-trace-base-2.0.1.tgz","Apache-2.0"
"@opentelemetry/sdk-trace-node","SPDXRef-Package-opentelemetry.sdk-trace-node-2.0.1","2.0.1","https://registry.npmjs.org/@opentelemetry/sdk-trace-node/-/sdk-trace-node-2.0.1.tgz","Apache-2.0"
"@opentelemetry/semantic-conventions","SPDXRef-Package-opentelemetry.semantic-conventions-1.40.0","1.40.0","https://registry.npmjs.org/@opentelemetry/semantic-conventions/-/semantic-conventions-1.40.0.tgz","Apache-2.0"
"@opentelemetry/sql-common","SPDXRef-Package-opentelemetry.sql-common-0.41.2","0.41.2","https://registry.npmjs.org/@opentelemetry/sql-common/-/sql-common-0.41.2.tgz","Apache-2.0"
"@pinojs/redact","SPDXRef-Package-pinojs.redact-0.4.0","0.4.0","https://registry.npmjs.org/@pinojs/redact/-/redact-0.4.0.tgz","MIT"
